"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Stakeholder Engagement","DFE-2349","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Stakeholder Engagement SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Capital Delivery","DFE-2568","Grade 6 - National","70854","78241","Manager - Commercial Specialist - Schools Grade 6-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","CSC Regional Cooperatives and Fostering","DFE-2443","Senior Executive Officer - London","46971","51973","Senior Executive Officer - CSC Looked After Children Placements SEO-London","3.00","Other","London"
"Department for Education","Department for Education","Family Hubs and Early Years Interventions","DFE-2393","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Family Hubs and Early Years Interventions SEO-Yorkshire and The Humber","4.10","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Sector Skills","DFE-2620","Grade 7 - National","58185","67219","Manager - Sector Skills Grade 7-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Governance, Assurance and Partnerships","DFE-2611","Grade 7 - National","58185","67219","Manager - Governance, Assurance and Partnerships Grade 7-Yorkshire and The Humber","2.86","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Families Group Central","DFE-2551","Grade 7 - National","58185","67219","Manager - Families Group Central Grade 7-Yorkshire and The Humber","7.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Developing Teachers and Leaders SEO-East Midlands","6.00","Other","East Midlands"
"Department for Education","Department for Education","Estates, Security and People","DFE-2025","Grade 7 - National","58185","67219","Manager - Estates, Security and People Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","FE Provider Infrastructure","DFE-2387","Senior Executive Officer - National","42806","47047","Senior Executive Officer - FE Provider Infrastructure​ SEO-Yorkshire and The Humber","3.68","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Sustainability and Strategic Projects","DFE-2311","Grade 7 - National","58185","67219","Manager - Sustainability and Strategic Projects Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Education Estates Design, Engineering, Cost and Building Technology","DFE-2208","Grade 6 - National","70854","78241","Manager - Education Estates Design, Engineering, Cost and Building Technology Grade 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Grade 7 - National","58185","67219","Manager - CSC Child Protection and Safeguarding Grade 7-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","Senior Executive Officer - National","42806","47047","Senior Executive Officer - SFSO Central Division SEO-South West","2.95","Other","South West"
"Department for Education","Department for Education","Internal Comms and GCS Change","DFE-2368","Grade 6 - London","74528","82869","Manager - Internal Comms and GCS Change Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Access, Participation and Applications","DFE-2231","Grade 7 - National","58185","67219","Manager - Access, Participation and Applications​ Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","Commercial Operations","DFE-2355","G7 (Accountant) - National","58437","67219","Manager - Commercial Operations Grade 7-North East","3.37","Other","North East"
"Department for Education","Department for Education","Commercial Operations","DFE-2355","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial Operations SEO-Yorkshire and The Humber","5.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Senior Executive Officer - National","42806","47047","Senior Executive Officer - SFSO Operational Delivery - North SEO-North East","2.90","Other","North East"
"Department for Education","Department for Education","CSC Strategy and System","DFE-2401","Grade 7 - National","58185","67219","Manager - CSC Strategy and System Grade 7-North West","3.00","Other","North West"
"Department for Education","Department for Education","Enterprise Data for Access and Sharing","DFE-2658","EO - National","31479","31479","Executive Officer - Enterprise Data for Access and Sharing EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Major Projects and Risk","DFE-2608","Grade 7 - National","58185","67219","Manager - Major Projects and Risks Grade 7-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Childcare Reform Delivery & Directorate Support","DFE-2576","Grade 7 - National","58185","67219","Manager - Childcare Reform Delivery & Directorate Support Grade 7-Yorkshire and The Humber","5.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Counter Extremism and Non-School Education","DFE-2398","Grade 7 - National","58185","67219","Manager - Counter Extremism and Non-School Education Grade 7-Unknown","7.80","Other","Unknown"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: National SEO-West Midlands","5.26","Other","West Midlands"
"Department for Education","Skills England","Corporate Governance and Performance","DFE-2691","EO - London","35438","35438","Executive Officer - Corporate Governance and Performance EO-London","2.00","Other","London"
"Department for Education","Department for Education","Careers","DFE-2653","Grade 6 - London","74528","82869","Manager - Careers Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","HEO - National","36000","38229","Higher Executive Officer - Knowledge and Information Management HEO-East Midlands","0.64","Other","East Midlands"
"Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","DFE-2613","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: Yorkshire & Humber and National CSC and BSiL SEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Funding Policy Implementation SEO-Yorkshire and The Humber","4.45","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Local Accountability and Improvement","DFE-2383","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Local Accountability and Improvement SEO-Yorkshire and The Humber","3.64","Other","Yorkshire and The Humber"
